Customer_ID,Age,Gender,Tenure_Months,Monthly_Charges,Contract,Internet_Service,Support_Calls,Payment_Method,Churn
20001,44,Female,59,1357.16,Monthly,DSL,6,Debit Card,No
20002,59,Male,59,2181.34,One Year,Fiber,0,Bank Transfer,No
20050,69,Male,50,1092.98,Monthly,DSL,0,Debit Card,Yes
20004,42,Male,39,2031.06,Monthly,DSL,1,UPI,No
20005,38,Male,28,1000.54,Monthly,None,0,Credit Card,No
20006,69,Male,61,2691.43,Monthly,None,5,Debit Card,No
20361,68,Female,17,1343.11,Monthly,DSL,4,Credit Card,Yes
20008,42,Male,2,1101.68,Monthly,DSL,4,Debit Card,No
20270,67,Male,45,738.18,Monthly,Fiber,0,Credit Card,Yes
20322,67,Female,28,1486.61,One Year,Fiber,7,Bank Transfer,Yes
20011,49,Female,13,948.44,Two Year,Fiber,4,UPI,No
20012,49,Female,13,2114.44,One Year,Fiber,1,Debit Card,No
20013,22,Female,43,2529.37,One Year,Fiber,6,UPI,No
20371,67,Male,16,491.12,Monthly,DSL,1,Credit Card,Yes
20015,63,Female,55,2524.75,Monthly,Fiber,1,Bank Transfer,No
20016,59,Female,40,1370.88,Monthly,DSL,7,Credit Card,No
20017,66,Female,15,721.06,Monthly,Fiber,3,UPI,No
20018,59,Male,52,2291.47,Monthly,Fiber,3,Bank Transfer,No
20022,66,Male,33,518.32,Monthly,DSL,0,Bank Transfer,Yes
20020,33,Male,52,2111.43,One Year,DSL,1,Credit Card,No
20021,50,Female,30,1029.74,One Year,DSL,1,Credit Card,No
20114,66,Male,44,2437.92,Two Year,Fiber,4,Credit Card,Yes
20110,65,Female,27,1091.05,Two Year,None,4,UPI,Yes
20113,65,Female,53,2729.71,One Year,DSL,1,Bank Transfer,Yes
20169,65,Female,61,1124.51,One Year,Fiber,0,UPI,Yes
20026,68,Male,54,2937.66,Monthly,Fiber,0,Credit Card,No
20027,62,Female,1,2442.31,One Year,Fiber,7,Credit Card,No
20214,65,Male,34,1873.45,Two Year,None,4,Bank Transfer,Yes
20044,64,Male,17,2403.7,Two Year,DSL,2,Credit Card,Yes
20030,39,Male,32,2637.47,Two Year,None,7,Bank Transfer,No
20031,58,Male,15,1080.49,Two Year,None,2,Credit Card,No
20032,22,Male,12,1561.74,Monthly,Fiber,5,UPI,No
20033,59,Female,57,1971.35,Monthly,Fiber,1,Bank Transfer,No
20034,40,Male,8,1409.21,Monthly,Fiber,5,Debit Card,No
20035,34,Male,72,1453.21,Two Year,Fiber,6,Credit Card,No
20051,64,Female,37,866.86,One Year,DSL,7,Credit Card,Yes
20037,40,Male,62,1822.43,One Year,Fiber,0,Debit Card,No
20038,33,Male,12,2595.55,Monthly,DSL,5,Debit Card,No
20039,20,Male,65,843.13,One Year,Fiber,5,Bank Transfer,No
20040,47,Male,42,2821.97,Monthly,None,6,Debit Card,No
20041,39,Female,62,2159.54,One Year,Fiber,5,Debit Card,No
20074,64,Female,58,889.53,Monthly,Fiber,2,UPI,Yes
20043,46,Female,43,1800.71,Two Year,Fiber,0,Debit Card,No
20010,63,Female,30,1409.52,Monthly,Fiber,6,UPI,Yes
20164,63,Female,11,2657.77,One Year,Fiber,0,Bank Transfer,Yes
20046,40,Female,40,2508.63,One Year,Fiber,3,Credit Card,No
20047,30,Male,23,407.37,Monthly,None,6,Credit Card,No
20048,49,Female,56,2701.77,Monthly,None,6,UPI,No
20049,63,Male,6,2977.3,One Year,DSL,1,Credit Card,No
20009,62,Male,17,919.98,Monthly,Fiber,0,Bank Transfer,Yes
20257,62,Female,16,464.9,Two Year,Fiber,0,UPI,Yes
20052,65,Female,64,2365.48,Two Year,Fiber,7,Credit Card,No
20053,40,Female,54,982.17,Monthly,Fiber,6,Bank Transfer,No
20054,62,Female,72,2636.02,One Year,Fiber,5,Debit Card,No
20055,34,Female,49,576.67,Monthly,DSL,6,Credit Card,No
20056,57,Male,11,639.08,Monthly,Fiber,6,Credit Card,No
20057,38,Male,49,2942.71,Monthly,Fiber,6,Credit Card,No
